title,technology_domain,assignee,filing_year,citation_count,keywords
Cas9 variant with reduced off-target genomic cleavage,Biotech,Broad Institute Inc.,2018,192,"crispr,cas9,off-target"
Chimeric antigen receptor targeting CD19-negative tumor variants,Biotech,Novartis AG,2018,110,"car-t,cell therapy,oncology"
Base editing system for targeted cytidine deamination without DSB,Biotech,Harvard University,2019,145,"base editing,cytidine deaminase,crispr"
High-throughput microfluidic single-cell transcriptomic barcoding,Biotech,10x Genomics Inc.,2019,130,"single-cell,transcriptomics,microfluidics"
Engineered adeno-associated viral capsids for CNS tropism,Biotech,Voyager Therapeutics,2019,87,"aav,gene therapy,capsid engineering"
Modified nucleosides for reduced immunogenicity in therapeutic RNA,Biotech,BioNTech SE,2020,220,"mrna,pseudouridine,immunogenicity"
Automated de novo protein backbone design using neural potentials,Biotech,University of Washington,2020,155,"protein design,structural biology,computational"
Prime editing guide RNA systems for targeted genomic insertion,Biotech,Broad Institute Inc.,2020,168,"prime editing,pegRNA,reverse transcriptase"
Continuous non-invasive interstitial glucose optical sensor,Biotech,DexCom Inc.,2021,95,"biosensor,glucose,interstitial fluid"
Multispecific antibody platform with asymmetric Fc heterodimerization,Biotech,Regeneron Pharmaceuticals,2021,102,"bispecific,antibody,fc engineering"
Targeted protein degradation chimera with E3 ubiquitin ligase recruiters,Biotech,Arvinas Inc.,2021,114,"protac,protein degradation,ubiquitin"
Allogeneic gene-edited cell therapy with HLA-I knockout,Biotech,CRISPR Therapeutics AG,2021,88,"allogeneic,hla knockout,cell therapy"
Cryo-EM grid preparation system with automated sample vitrification,Biotech,Thermo Fisher Scientific,2022,62,"cryo-em,vitrification,structural biology"
Spatial transcriptomics in situ sequencing via fluorophore barcoding,Biotech,Illumina Inc.,2022,84,"spatial transcriptomics,in situ sequencing,genomics"
Synthetic biological gene circuits for conditional therapeutic release,Biotech,Senti Biosciences,2022,53,"synthetic biology,gene circuit,logic gates"
Circulating tumor DNA methylation panel for multi-cancer early detection,Biotech,Grail LLC,2022,91,"ctdna,methylation,cancer diagnostics"
Engineered Cas12a endonuclease with expanded PAM recognition,Biotech,Editas Medicine,2023,73,"cas12a,pam,gene editing"
In vivo programmable RNA-guided endonuclease system with humanized vector,Biotech,Intellia Therapeutics,2023,65,"in vivo,gene therapy,rna guided"
Generative antibody CDR design using structural diffusion networks,Biotech,Generate Biomedicines,2023,56,"antibody design,generative,diffusion"
Self-amplifying replicon RNA vaccine for prolonged antigen expression,Biotech,Arcturus Therapeutics,2023,48,"replicon rna,self-amplifying,vaccine"
Wearable micro-needle array for multiplexed metabolite monitoring,Biotech,Abbott Laboratories,2024,39,"microneedle,metabolite,wearable sensor"
Epigenetic editing system for durable gene silencing without DNA cleavage,Biotech,Chroma Medicine,2024,42,"epigenetic,methylation,gene silencing"
Targeted exosome delivery platform for cross-blood-brain barrier transport,Biotech,Codiak BioSciences,2024,35,"exosomes,blood-brain barrier,drug delivery"
Universal CAR-NK cell architecture resistant to immunosuppressive tumor microenvironment,Biotech,Fate Therapeutics,2024,44,"car-nk,immunotherapy,microenvironment"
Circular RNA vector with internal ribosome entry site for durable translation,Biotech,Orna Therapeutics,2025,28,"circular rna,ires,translation"
Single-molecule protein sequencing by nanopore ionic blockade signature,Biotech,Oxford Nanopore Technologies,2025,34,"nanopore,protein sequencing,proteomics"
Directed molecular evolution of synthetic polymerases for xenonucleic acids,Biotech,Illumina Inc.,2025,23,"synthetic biology,xenonucleic,polymerase"
Autonomous closed-loop insulin infusion algorithm using multi-analyte biosensors,Biotech,Medtronic Inc.,2025,26,"insulin pump,closed-loop,artificial pancreas"
Non-viral targeted transposase delivery system for large-gene payload insertion,Biotech,Tessera Therapeutics,2026,11,"transposase,gene writing,non-viral"
De novo macrocyclic peptide inhibitor design against undruggable targets,Biotech,Genentech Inc.,2026,9,"macrocycle,peptide,undruggable targets"
Organ-on-a-chip microfluidic platform with vascularized tissue perfusion,Biotech,Emulate Inc.,2026,15,"organ on chip,microfluidics,tissue perfusion"
Sub-angstrom resolution cryo-electron ptychography for native macromolecular complexes,Biotech,Thermo Fisher Scientific,2026,7,"electron microscopy,ptychography,macromolecular"
Lithium-nickel-manganese-cobalt cathode with protective atomic layer coating,Energy Storage,LG Energy Solution,2018,120,"nmc,cathode,atomic layer deposition"
Tabless cylindrical battery cell with continuous conductive substrate,Energy Storage,Tesla Inc.,2018,185,"tabless,cylindrical cell,internal resistance"
Silicon-carbon composite anode material for high-capacity lithium cells,Energy Storage,Sila Nanotechnologies,2018,134,"silicon anode,carbon composite,energy density"
Battery pack thermal cooling system with immersion dielectric fluid,Energy Storage,Tesla Inc.,2019,98,"immersion cooling,thermal management,dielectric"
Sulfide-based solid electrolyte separator with high ionic conductivity,Energy Storage,Toyota Motor Corporation,2019,140,"solid-state,sulfide electrolyte,separator"
Lithium iron phosphate battery pack with cell-to-pack structural design,Energy Storage,CATL,2019,160,"lfp,cell-to-pack,structural battery"
Dry battery electrode fabrication using fibrillated PTFE binder,Energy Storage,Tesla Inc.,2020,150,"dry electrode,ptfe,solvent-free"
Ceramic solid electrolyte separator membrane for lithium metal batteries,Energy Storage,QuantumScape Corporation,2020,172,"ceramic separator,lithium metal,dendrite suppression"
Battery management system with state-of-charge Kalman filter estimation,Energy Storage,Panasonic Holdings,2020,85,"bms,kalman filter,state of charge"
Closed-loop hydrometallurgical recycling process for spent lithium batteries,Energy Storage,Redwood Materials Inc.,2021,108,"recycling,hydrometallurgy,cathode recovery"
Sodium-ion battery cathode material based on Prussian blue analogues,Energy Storage,CATL,2021,115,"sodium-ion,prussian blue,cathode"
Fast-charging pulse protocol with electrochemical impedance spectroscopy feedback,Energy Storage,LG Energy Solution,2021,92,"fast-charging,eis,impedance spectroscopy"
Silicon nanowire anode array on copper current collector substrate,Energy Storage,Amprius Technologies,2021,88,"silicon nanowires,anode,capacity"
Structural battery composite material integrated into vehicle chassis,Energy Storage,Tesla Inc.,2022,105,"structural battery,chassis integration,weight reduction"
Iron-flow battery with alkaline electrolyte for long-duration grid storage,Energy Storage,ESS Inc.,2022,68,"flow battery,iron-flow,grid storage"
Pre-lithiation chemical additive formulation for silicon-dominant anodes,Energy Storage,CATL,2022,74,"pre-lithiation,silicon anode,first-cycle efficiency"
Multi-level fire suppression system with localized gas quenching in battery packs,Energy Storage,Panasonic Holdings,2022,59,"thermal runaway,fire suppression,safety"
All-solid-state lithium battery with multi-layer sulfide-oxide composite,Energy Storage,Solid Power Inc.,2023,82,"solid-state,composite electrolyte,sulfide"
Manganese-rich cobalt-free cathode material with spinel-layered heterostructure,Energy Storage,BASF SE,2023,63,"cobalt-free,spinel,cathode"
Aqueous zinc-ion battery electrolyte with suppressed dendrite growth,Energy Storage,EnerVenue Inc.,2023,51,"zinc-ion,aqueous electrolyte,grid storage"
Ultrasonic inspection method for in-situ battery degradation detection,Energy Storage,LG Energy Solution,2023,44,"ultrasonic inspection,degradation,diagnostics"
High-voltage single-crystal nickel-rich cathode with surface gradient doping,Energy Storage,Samsung SDI,2024,48,"single crystal,nickel-rich,high voltage"
Compressed-air thermal hybrid energy storage system with reversible expansion,Energy Storage,Hydrostor Inc.,2024,36,"compressed air,long-duration,thermal storage"
Sodium-ion battery cell with hard carbon anode and non-flammable ester electrolyte,Energy Storage,BYD Company,2024,52,"sodium-ion,hard carbon,non-flammable"
Direct lithium extraction system using selective ion-sieve nanofiltration,Energy Storage,Lilac Solutions,2024,41,"direct lithium extraction,nanofiltration,brine"
Gigawatt-scale virtual power plant orchestration system with second-level dispatch,Energy Storage,Tesla Inc.,2025,33,"virtual power plant,grid orchestration,dispatch"
Self-healing polymer solid electrolyte for room-temperature lithium metal cells,Energy Storage,QuantumScape Corporation,2025,30,"self-healing,solid-state,polymer electrolyte"
Halide-based solid electrolyte with extreme ionic conductivity for EV powertrains,Energy Storage,Samsung SDI,2025,27,"halide electrolyte,solid-state,electric vehicle"
Low-cost iron-air battery system for multi-day grid energy resilience,Energy Storage,Form Energy Inc.,2025,38,"iron-air,multi-day storage,grid resilience"
Supercapacitor hybrid battery cell with graphene-enhanced charge collector,Energy Storage,Skeleton Technologies,2026,16,"supercapacitor,graphene,hybrid storage"
Bio-based biodegradable lignin binder for green lithium-ion battery electrodes,Energy Storage,Northvolt AB,2026,13,"lignin,bio-based binder,green manufacturing"
Deep-sea hydrostatic pressure battery enclosure for subsea power grids,Energy Storage,Siemens Energy AG,2026,9,"subsea battery,hydrostatic enclosure,offshore power"
Plasma-assisted dry coating of cathode active materials for high-throughput roll-to-roll,Energy Storage,CATL,2026,12,"dry coating,plasma,roll-to-roll"
Low-power wide-area network protocol with adaptive data rate modulation,IoT,Semtech Corporation,2018,112,"lorawan,lpwan,adaptive rate"
Ultra-wideband spatial positioning and distance ranging protocol,IoT,Apple Inc.,2018,138,"uwb,ranging,spatial positioning"
Mesh routing protocol with energy-aware path discovery in distributed sensor grids,IoT,Cisco Systems Inc.,2018,86,"mesh network,routing,sensor networks"
Dynamic beamforming and channel estimation for Massive MIMO arrays,IoT,Qualcomm Inc.,2019,145,"massive mimo,beamforming,5g"
Energy harvesting power management circuit for ambient RF and vibration sources,IoT,Texas Instruments,2019,74,"energy harvesting,ambient rf,power management"
Bluetooth low-energy direction finding via angle-of-arrival estimation,IoT,Nordic Semiconductor,2019,92,"bluetooth le,direction finding,aoa"
Industrial IoT gateway with deterministic time-sensitive networking,IoT,Siemens AG,2020,108,"tsn,time sensitive,industrial iot"
Over-the-air firmware differential update distribution over constrained wireless,IoT,Arm Limited,2020,68,"firmware,ota,delta updates"
Cellular narrowband IoT power saving mode and extended discontinuous reception,IoT,Qualcomm Inc.,2020,125,"nb-iot,psm,power saving"
Decentralized consensus verification for autonomous IoT edge device swarms,IoT,IBM,2021,79,"edge swarm,consensus,distributed iot"
Matter protocol unified fabric discovery across mixed Wi-Fi and Thread topologies,IoT,Google LLC,2021,130,"matter,thread,smart home"
Ambient backscatter communication system using ambient Wi-Fi carrier signals,IoT,University of Washington,2021,84,"backscatter,ambient wifi,zero-power"
Multi-sensor micro-electro-mechanical system with integrated edge inference processor,IoT,STMicroelectronics,2021,62,"mems,sensor fusion,edge processor"
Direct-to-satellite 5G non-terrestrial network protocol for remote sensor telemetry,IoT,Qualcomm Inc.,2022,110,"ntn,satellite iot,5g"
Vibration-based predictive maintenance analytics engine using edge acceleration signals,IoT,Honeywell International,2022,57,"predictive maintenance,vibration,industrial edge"
Zero-configuration secure peer pairing using acoustic near-field telemetry,IoT,Apple Inc.,2022,73,"near-field,acoustic pairing,zero configuration"
Sub-terahertz wireless transceiver architecture for 6G micro-sensor links,IoT,Samsung Electronics,2022,65,"sub-terahertz,6g,transceiver"
Distributed event broker for low-latency publish-subscribe in edge clouds,IoT,Amazon Technologies,2023,83,"pub-sub,event broker,edge computing"
LiFi optical wireless communication transceiver for hazardous industrial environments,IoT,Signify Holding,2023,46,"lifi,optical wireless,industrial"
Federated edge learning pipeline across resource-constrained microcontrollers,IoT,Arm Limited,2023,62,"tinyml,federated edge,microcontrollers"
Subsea acoustic modem network for underwater environmental sensor arrays,IoT,Teledyne Marine,2023,38,"subsea acoustic,underwater iot,ocean sensor"
Reconfigurable intelligent surface architecture for millimeter-wave indoor coverage,IoT,Huawei Technologies,2024,55,"reconfigurable surface,ris,mmwave"
Ultra-low power wake-up receiver operating at sub-microwatt power consumption,IoT,Qualcomm Inc.,2024,43,"wake-up receiver,sub-microwatt,battery life"
Spatial audio sensor array with neural noise cancellation for smart home hubs,IoT,Amazon Technologies,2024,49,"spatial audio,beamforming,smart hub"
Continuous photovoltaic indoor ambient light energy collector for shelf-edge displays,IoT,E Ink Corporation,2024,32,"indoor solar,energy harvesting,electronic shelf labels"
Cellular 5G RedCap reduced capability transceiver for compact wearables,IoT,Qualcomm Inc.,2025,37,"redcap,5g wearables,reduced capability"
Autonomous drone swarm coordination using ad-hoc millimeter-wave mesh links,IoT,Skydio Inc.,2025,29,"drone swarm,ad-hoc mesh,coordination"
Non-terrestrial low-earth orbit constellation telemetry aggregation node,IoT,Space Exploration Technologies Corp.,2025,41,"leo constellation,satellite iot,ground node"
Battery-free bio-sensing smart tag with integrated NFC inductive energy harvesting,IoT,NXP Semiconductors,2025,24,"nfc,battery-free,inductive harvesting"
Quantum-secured wireless sensor link utilizing miniaturized entangled photon emitters,IoT,Cisco Systems Inc.,2026,12,"quantum sensor,entangled photons,qkd"
Ultra-dense 6G cell-free massive MIMO radio unit synchronization architecture,IoT,Ericsson AB,2026,15,"6g,cell-free mimo,synchronization"
Bio-degradable printed organic circuit substrate for agricultural soil telemetry,IoT,BASF SE,2026,10,"biodegradable,printed electronics,smart agriculture"
Cognitive spectrum sensing and dynamic frequency hopping in contested environments,IoT,Qualcomm Inc.,2026,8,"cognitive radio,spectrum sensing,frequency hopping"
Microsegmentation of virtual network workloads using software-defined policies,Cybersecurity,VMware LLC,2018,124,"microsegmentation,zero trust,sdn"
Behavioral endpoint detection and response using kernel event telemetry,Cybersecurity,CrowdStrike Inc.,2018,178,"edr,endpoint,telemetry,behavioral"
Post-quantum key exchange protocol based on learning with errors lattice cryptography,Cybersecurity,IBM,2018,145,"post-quantum,lattice,cryptography"
Zero trust network access gateway with continuous device posture assessment,Cybersecurity,Zscaler Inc.,2019,136,"zero trust,ztna,posture assessment"
Automated threat graph reconstruction from security information and event logs,Cybersecurity,Palo Alto Networks,2019,112,"threat graph,siem,soar"
Hardware-enforced memory safety using pointer tagging and authorization,Cybersecurity,Arm Limited,2019,96,"pointer authentication,memory safety,hardware security"
Homomorphic encryption system for multi-tenant database query execution,Cybersecurity,Microsoft Technology Licensing,2020,158,"homomorphic encryption,confidential compute,privacy"
Automated ransomware detection and volume shadow copy preservation engine,Cybersecurity,Sophos Limited,2020,120,"ransomware,shadow copy,file integrity"
Hardware security module with quantum random number generation source,Cybersecurity,ID Quantique,2020,88,"qrng,hsm,cryptography"
Confidential virtual machine execution using encrypted nested page tables,Cybersecurity,Advanced Micro Devices Inc.,2021,140,"confidential compute,sev,memory encryption"
Extended Berkeley Packet Filter observability framework for cloud-native runtime security,Cybersecurity,Cloudflare Inc.,2021,125,"ebpf,runtime security,kubernetes"
Phishing detection using neural computer vision analysis of landing page DOM trees,Cybersecurity,Microsoft Technology Licensing,2021,92,"phishing,computer vision,dom analysis"
Automated security orchestration playbook execution with context-aware rollback,Cybersecurity,Palo Alto Networks,2021,84,"soar,playbook,incident response"
Software supply chain cryptographic provenance tracking and SBOM verification,Cybersecurity,Google LLC,2022,115,"sbom,supply chain,provenance,sigstore"
Adaptive multi-factor authentication engine with continuous risk scoring,Cybersecurity,Okta Inc.,2022,98,"mfa,risk-based auth,identity"
Decentralized verifiable identity credentials using zero-knowledge proofs,Cybersecurity,Microsoft Technology Licensing,2022,87,"zero-knowledge,did,verifiable credentials"
Automated cloud infrastructure entitlements management and least-privilege analysis,Cybersecurity,Palo Alto Networks,2022,76,"ciem,least privilege,iam"
Deepfake synthetic voice and video detection using biometric micro-fluctuation analysis,Cybersecurity,Intel Corporation,2023,102,"deepfake,synthetic media,biometrics"
API security gateway with automated shadow endpoint discovery and rate limiting,Cybersecurity,Cloudflare Inc.,2023,69,"api security,shadow api,rate limiting"
Autonomous penetration testing engine using graph reinforcement learning,Cybersecurity,CrowdStrike Inc.,2023,73,"pentesting,reinforcement learning,threat simulation"
Post-quantum digital signature scheme based on hash-based stateful trees,Cybersecurity,NIST / Government,2023,61,"stateful hash,digital signature,pqc"
AI model weight watermarking and provenance verification for intellectual property protection,Cybersecurity,Meta Platforms,2024,58,"model watermarking,intellectual property,ai security"
Prompt injection and jailbreak mitigation gateway for generative AI applications,Cybersecurity,Palo Alto Networks,2024,71,"prompt injection,jailbreak,llm security"
Distributed denial of service mitigation using autonomous edge eBPF traffic filtering,Cybersecurity,Cloudflare Inc.,2024,64,"ddos,ebpf,edge mitigation"
Hardware side-channel attack mitigation through randomized cache line replacement,Cybersecurity,Intel Corporation,2024,45,"side channel,cache attack,spectre"
Autonomous threat hunting agent using continuous enterprise memory forensic analysis,Cybersecurity,CrowdStrike Inc.,2025,42,"threat hunting,memory forensics,ai agent"
Encrypted search over multi-cloud data lakes without plaintext key exposure,Cybersecurity,IBM,2025,36,"searchable encryption,data lake,cloud privacy"
Synthetic identity fraud detection through multi-graph community clustering,Cybersecurity,JPMorgan Chase & Co.,2025,33,"fraud detection,synthetic identity,graph analytics"
Hardware physical unclonable function for cryptographic key generation in untrusted silicon,Cybersecurity,Qualcomm Inc.,2025,29,"puf,silicon security,hardware root of trust"
Autonomous zero-day vulnerability discovery using automated symbolic execution and fuzzer generation,Cybersecurity,Google LLC,2026,18,"zero-day,symbolic execution,fuzzing"
Quantum key distribution router with multiplexed continuous-variable quantum channels,Cybersecurity,Toshiba Corporation,2026,14,"qkd,quantum key distribution,quantum router"
Autonomous cyber deception architecture with dynamic generative honeypots,Cybersecurity,Fortinet Inc.,2026,11,"deception,honeypot,generative security"
Differential privacy mechanism for synthetic data generation in compliance audits,Cybersecurity,Apple Inc.,2026,8,"differential privacy,compliance,synthetic data"
